main_folder,subfolder,file_name,metric,count,mean,std,min,max,median
Summary,Individual_Preference_result,summary_preference_llama_results.json,score,2000,3.5314188063581713,0.18162043635257802,1.5260350877192985,4.199878308487983,3.5310136879231258
Summary,Individual_Preference_result,summary_preference_gemma_results.json,score,2000,3.536806542827028,0.17966461803269657,1.5260350877192985,4.542365497712916,3.542374920592142
Summary,Individual_Preference_result,preference_test_results_2000.json,raw_probabilities_1,2000,0.0001757131814956665,7.544283401704251e-05,0.0,0.0006728172302246094,0.00016826391220092773
Summary,Individual_Preference_result,preference_test_results_2000.json,raw_probabilities_2,2000,0.00010787257552146912,4.249752547966248e-05,0.0,0.0003743171691894531,0.00010478496551513672
Summary,Individual_Preference_result,preference_test_results_2000.json,raw_probabilities_3,2000,0.00039839184284210205,0.00016280819835673681,0.0,0.002063751220703125,0.0003739595413208008
Summary,Individual_Preference_result,preference_test_results_2000.json,raw_probabilities_4,2000,0.0010655650198459624,0.0004770778130934866,0.0,0.00421142578125,0.00096893310546875
Summary,Individual_Preference_result,preference_test_results_2000.json,raw_probabilities_5,2000,0.0002571091651916504,0.00018323867959694272,0.0,0.006114959716796875,0.00023889541625976562
Summary,Individual_Preference_result,preference_test_results_2000.json,score,2000,3.532361659163732,0.19183494483467128,1.0,4.542254016983285,3.538776459616292
Summary,Individual_Preference_result,preference_test_results_2000.json,total_score_prob,2000,0.0020046517848968507,0.0007283883050088664,0.0,0.008465170860290527,0.0018790364265441895
Summary,Individual_Preference_result,summary_preference_deepseek_results.json,score,2000,3.536192238418569,0.1894857199397107,1.5260350877192985,4.457148384600503,3.5391991485584686
Summary,Individual_Preference_result,summary_preference_xsum_results.json,score,2000,3.545656801533877,0.1770941416578609,1.5260350877192985,4.238143924498624,3.5466389927763635
Summary,Individual_Preference_result,summary_preference_qwen_results.json,score,2000,3.4591971329705897,0.17393329923497483,1.5260350877192985,4.000194609321786,3.4774601075112486
Summary,Individual_Recognition_result,summary_recognition_qwen_results.json,recognition_Yes,2000,0.9026426357676242,0.06122471176619961,0.0,0.9634247714048213,0.9135941803890966
Summary,Individual_Recognition_result,summary_recognition_qwen_results.json,recognition_No,2000,0.09735736423237588,0.06122471176619961,0.03657522859517872,1.0,0.08640581961090349
Summary,Individual_Recognition_result,summary_recognition_qwen_results.json,raw_probabilities_raw_yes,2000,0.000353198766708374,0.00012497145199244521,0.0,0.0010881423950195312,0.0003314018249511719
Summary,Individual_Recognition_result,summary_recognition_qwen_results.json,raw_probabilities_raw_no,2000,3.738459944725037e-05,2.549601493391143e-05,0.0,0.00030612945556640625,3.3855438232421875e-05
Summary,Individual_Recognition_result,summary_recognition_qwen_results.json,raw_probabilities_total_yes_no,2000,0.0003905833661556244,0.00013650760267572688,0.0,0.0011440515518188477,0.00037238001823425293
Summary,Individual_Recognition_result,summary_recognition_xsum_results.json,recognition_Yes,2000,0.9002426648775802,0.04593030764333693,0.0,0.9632459491503096,0.9047005042795231
Summary,Individual_Recognition_result,summary_recognition_xsum_results.json,recognition_No,2000,0.09975733512241985,0.04593030764333693,0.036754050849690426,1.0,0.09529949572047697
Summary,Individual_Recognition_result,summary_recognition_xsum_results.json,raw_probabilities_raw_yes,2000,0.0003925034403800964,0.00013858555010887026,0.0,0.000942230224609375,0.0003814697265625
Summary,Individual_Recognition_result,summary_recognition_xsum_results.json,raw_probabilities_raw_no,2000,4.1729688644409177e-05,1.7793144001731472e-05,0.0,0.0001366138458251953,4.0024518966674805e-05
Summary,Individual_Recognition_result,summary_recognition_xsum_results.json,raw_probabilities_total_yes_no,2000,0.0004342331290245056,0.00015113212838706989,0.0,0.0010148882865905762,0.0004292428493499756
Summary,Individual_Recognition_result,summary_recognition_deepseek_results.json,recognition_Yes,2000,0.8964310590364696,0.0488567381286525,0.33464489474719655,0.9632326174008009,0.9032720229346258
Summary,Individual_Recognition_result,summary_recognition_deepseek_results.json,recognition_No,2000,0.10356894096353039,0.0488567381286525,0.03676738259919913,0.6653551052528035,0.0967279770653741
Summary,Individual_Recognition_result,summary_recognition_deepseek_results.json,raw_probabilities_raw_yes,2000,0.00035782212018966675,0.00012754639300705054,0.0,0.0009136199951171875,0.0003451108932495117
Summary,Individual_Recognition_result,summary_recognition_deepseek_results.json,raw_probabilities_raw_no,2000,3.936716914176941e-05,1.7253865887469455e-05,0.0,0.0002015829086303711,3.7550926208496094e-05
Summary,Individual_Recognition_result,summary_recognition_deepseek_results.json,raw_probabilities_total_yes_no,2000,0.00039718928933143614,0.00013829307710266182,0.0,0.0010306835174560547,0.00038683414459228516
Summary,Individual_Recognition_result,summary_recognition_llama_results.json,recognition_Yes,2000,0.8957707096912677,0.04315681103029665,0.5,0.9572813977719002,0.900429216173897
Summary,Individual_Recognition_result,summary_recognition_llama_results.json,recognition_No,2000,0.10422929030873225,0.04315681103029665,0.0427186022280997,0.5,0.09957078382610297
Summary,Individual_Recognition_result,summary_recognition_llama_results.json,raw_probabilities_raw_yes,2000,0.0003590785562992096,0.00012927560867980451,0.0,0.0009098052978515625,0.00034236907958984375
Summary,Individual_Recognition_result,summary_recognition_llama_results.json,raw_probabilities_raw_no,2000,4.022112488746643e-05,1.719721978792859e-05,0.0,0.00015032291412353516,3.853440284729004e-05
Summary,Individual_Recognition_result,summary_recognition_llama_results.json,raw_probabilities_total_yes_no,2000,0.000399299681186676,0.00014140510213068007,0.0,0.0009931325912475586,0.000384598970413208
